id,overall,name,position,age,team,nation
1,9799,Thierry Henry,STMS,27,Arsenal,Frankreich
2,9799,Gianluigi Buffon,TW,26,Juventus Turin,Italien
3,9699,Zinedine Zidane,ZOMZMLM,32,Real Madrid,Frankreich
4,9599,Ruud van Nistelrooy,STMS,28,Manchester United,Niederlande
5,9499,Roy Makaay,ST,29,FC Bayern München,Niederlande
6,9499,Casillas,TW,23,Real Madrid,Spanien
7,9499,Patrick Vieira,ZDMZM,28,Arsenal,Frankreich
8,9499,Francesco Totti,ZOMRZOMLZOM,28,AS Rom,Italien
9,9499,Alessandro Nesta,IVRV,28,AC Mailand,Italien
10,9499,Oliver Kahn,TW,35,FC Bayern München,Deutschland
11,9398,Marcos,TW,31,Palmeiras,Brasilien
12,9399,Lucio,IVLIVRIV,26,FC Bayern München,Brasilien
13,9398,Edwin Van der Sar,TW,33,Fulham,Niederlande
14,9399,Ronaldinho,LZOMZOMST,24,FC Barcelona,Brasilien
15,9399,Steven Gerrard,ZMRMZDM,24,Liverpool,England
16,9399,Andriy Shevchenko,STMS,28,AC Mailand,Ukraine
17,9399,Jaap Stam,IVLIBRAV,32,AC Mailand,Niederlande
18,9398,Sol Campbell,IV,30,Arsenal,England
19,9298,Kaká,ZOMMS,22,AC Mailand,Brasilien
20,9298,Adriano,ST,22,Inter Mailand,Brasilien
21,9299,Ronaldo,STLSRS,28,Real Madrid,Brasilien
22,9297,Pablo César Aimar,ZOMMS,24,FC Valencia,Argentinien
23,9297,Rio Ferdinand,IVLIB,25,Manchester United,England
24,9299,David Trezeguet,ST,26,Juventus Turin,Frankreich
25,9297,Francesco Toldo,TW,32,Inter Mailand,Italien
26,9297,Lilian Thuram,RVRAVIV,32,Juventus Turin,Frankreich
27,9297,Robert Pirès,LMZMRM,31,Arsenal,Frankreich
28,9298,Paolo Maldini,IVLAVLV,36,AC Mailand,Italien
29,9299,Alessandro Del Piero,MSZOMST,29,Juventus Turin,Italien
30,9297,Paul Scholes,ZOMZMMS,29,Manchester United,England
1,9298,Ryan Giggs,LMLFLMS,30,Manchester United,Wales
2,9197,Vicente,LFLLM,23,FC Valencia,Spanien
3,9199,Valerón,ZOMZMLZM,29,Deportivo La Coruna,Spanien
4,9197,Tomás Rosicky,ZOMZMRM,24,Borussia Dortmund,Tschechische Repub.
5,9199,Pavel Nedved,ZOMZMLM,32,Juventus Turin,Tschechische Repub.
6,9199,Michael Owen,STMS,24,Real Madrid,England
7,9199,Gianluca Zambrotta,RMRAVLAV,27,Juventus Turin,Italien
8,9196,Shay Given,TW,28,Newcastle United,Republik Irland
9,9196,Claude Makélelé,ZDMZM,31,Chelsea,Frankreich
10,9198,Carlo Cudicini,TW,31,Chelsea,Italien
11,9199,Christian Vieri,ST,31,Inter Mailand,Italien
12,9199,Roy Keane,ZMZDM,33,Manchester United,Republik Irland
13,9096,Raúl,MSZOMST,27,Real Madrid,Spanien
