id,overall,name,position,age,team,nation,edition
1,9194,Cristiano Ronaldo,RFL,23,Manchester United,Portugal,fifa_2009
2,9192,Casillas,TW,27,Real Madrid C.F.,Spanien,fifa_2009
3,9095,Lionel Messi,RFL,21,F.C. Barcelona,Argentinien,fifa_2009
4,9093,KakÃ¡,ZOM,26,AC Mailand,Brasilien,fifa_2009
5,9093,Gianluigi Buffon,TW,30,Juventus,Italien,fifa_2009
6,8994,Zlatan Ibrahimovic,ST,26,Inter Mailand,Schweden,fifa_2009
7,8891,Francesc Fabregas,ZM,21,Arsenal,Spanien,fifa_2009
8,8892,Franck RibÃ©ry,LM,25,Bayern MÃ¼nchen,Frankreich,fifa_2009
9,8890,Fernando Torres,ST,24,Liverpool,Spanien,fifa_2009
10,8891,Petr Äech,TW,26,Chelsea,Tschechische Repub.,fifa_2009
11,8890,Steven Gerrard,ZM,28,Liverpool,England,fifa_2009
12,8890,John Terry,IV,27,Chelsea,England,fifa_2009
13,8890,Puyol,IV,30,F.C. Barcelona,Spanien,fifa_2009
14,8891,Alessandro Nesta,IV,32,AC Mailand,Italien,fifa_2009
15,8790,Bert Ronhaar,LFL,24,Niederlande,Niederlande,fifa_2009
16,8790,Diego,ZOM,23,Werder Bremen,Brasilien,fifa_2009
17,8789,Philipp Lahm,RAV,24,Bayern MÃ¼nchen,Deutschland,fifa_2009
18,8788,LÃºcio,IV,30,Bayern MÃ¼nchen,Brasilien,fifa_2009
19,8791,Wayne Rooney,MS,22,Manchester United,England,fifa_2009
20,8791,JÃºlio CÃ©sar,TW,28,Inter Mailand,Brasilien,fifa_2009
21,8790,Didier Drogba,ST,30,Chelsea,ElfenbeinkÃ¼ste,fifa_2009
22,8793,Ronaldinho,LA,28,AC Mailand,Brasilien,fifa_2009
23,8789,Luca Toni,ST,31,Bayern MÃ¼nchen,Italien,fifa_2009
24,8788,Xavi,ZM,28,F.C. Barcelona,Spanien,fifa_2009
25,8793,Andrea Pirlo,ZM,29,AC Mailand,Italien,fifa_2009
26,8789,Rio Ferdinand,IV,29,Manchester United,England,fifa_2009
27,8789,Sebastien Frey,TW,28,Fiorentina,Frankreich,fifa_2009
28,8792,Francesco Totti,MS,31,AS Rom,Italien,fifa_2009
29,8790,Alessandro Del Piero,MS,33,Juventus,Italien,fifa_2009
30,8691,Joep Maatje,ST,33,Niederlande,Niederlande,fifa_2009
1,8688,Nemanja VidiÄ,IV,26,Manchester United,Serbien,fifa_2009
2,8689,Wesley Sneijder,ZOM,24,Real Madrid C.F.,Niederlande,fifa_2009
3,8688,Esteban Matias Cambiasso,ZDM,28,Inter Mailand,Argentinien,fifa_2009
4,8686,Luis Fabiano,ST,27,Sevilla F.C.,Brasilien,fifa_2009
5,8690,RenÃ© Adler,TW,23,Bayer 04 Leverkusen,Deutschland,fifa_2009
6,8693,David Villa,ST,26,Valencia C.F.,Spanien,fifa_2009
7,8687,Emmanuel Adebayor,ST,24,Arsenal,Togo,fifa_2009
8,8689,MichaÃ«l Essien,ZM,25,Chelsea,Ghana,fifa_2009
9,8692,Rafael van der Vaart,ZOM,25,Real Madrid C.F.,Niederlande,fifa_2009
10,8688,Mauro German Camoranesi,RM,31,Juventus,Italien,fifa_2009
11,8687,Dimitar Berbatov,ST,27,Manchester United,Bulgarien,fifa_2009
12,8687,Marcelo JosÃ© Bordon,IV,32,FC Schalke 04,Brasilien,fifa_2009
13,8691,Juan RomÃ¡n Riquelme,ZOM,30,Boca Juniors,Argentinien,fifa_2009
14,8690,Ruud Van Nistelrooy,ST,32,Real Madrid C.F.,Niederlande,fifa_2009
15,8690,Samuel Eto'o,ST,27,F.C. Barcelona,Kamerun,fifa_2009
16,8690,David Trezeguet,ST,30,Juventus,Frankreich,fifa_2009
17,8688,Frank Lampard,ZOM,30,Chelsea,England,fifa_2009
18,8688,Michael Ballack,ZOM,31,Chelsea,Deutschland,fifa_2009
19,8686,Javier Zanetti,RAV,35,Inter Mailand,Argentinien,fifa_2009
20,8690,Iniesta,ZM,24,F.C. Barcelona,Spanien,fifa_2009
21,8589,Andrei Murgu,LA,29,Fiorentina,RumÃ¤nien,fifa_2009
22,8592,Michelangelo van der Poel,ZOM,24,Niederlande,Niederlande,fifa_2009
23,8590,David Silva,LM,22,Valencia C.F.,Spanien,fifa_2009
24,8591,Karim Benzema,ST,20,Olympique Lyon,Frankreich,fifa_2009
25,8587,Robert Enke,TW,31,Hannover 96,Deutschland,fifa_2009
26,8592,Sergio Ramos,RV,22,Real Madrid C.F.,Spanien,fifa_2009
27,8587,Amauri,ST,28,Juventus,Brasilien,fifa_2009
28,8590,Igor Akinfeev,TW,22,Russland,Russland,fifa_2009
29,8591,Dani Alves,RAV,25,F.C. Barcelona,Brasilien,fifa_2009
30,8590,Carlos TÃ©vez,MS,24,Manchester United,Argentinien,fifa_2009
1,8587,Javier Mascherano,ZDM,24,Liverpool,Argentinien,fifa_2009
2,8592,Giorgio Chiellini,IV,24,Juventus,Italien,fifa_2009
3,8590,Robinho,LA,24,Manchester City,Brasilien,fifa_2009
4,8587,MartÃ­n Demichelis,IV,27,Bayern MÃ¼nchen,Argentinien,fifa_2009
5,8588,Antonio Di Natale,LA,30,Udinese,Italien,fifa_2009
6,8587,Kolo TourÃ©,IV,27,Arsenal,ElfenbeinkÃ¼ste,fifa_2009
7,8590,Deco,ZOM,31,Chelsea,Portugal,fifa_2009
8,8589,Per Mertesacker,IV,23,Werder Bremen,Deutschland,fifa_2009
9,8589,Daniele De Rossi,ZDM,25,AS Rom,Italien,fifa_2009
10,8589,Edwin van der Sar,TW,37,Manchester United,Niederlande,fifa_2009
11,8587,Philippe MexÃ¨s,IV,26,AS Rom,Frankreich,fifa_2009
12,8590,Quaresma,RFL,24,Inter Mailand,Portugal,fifa_2009
13,8590,Miroslav Klose,ST,30,Bayern MÃ¼nchen,Deutschland,fifa_2009
14,8588,Robin van Persie,MS,25,Arsenal,Niederlande,fifa_2009
15,8590,Antonio Cassano,MS,26,Sampdoria,Italien,fifa_2009
16,8585,Juan SebastiÃ¡n VerÃ³n,ZM,33,Argentinien,Argentinien,fifa_2009
17,8589,Cristian Chivu,LV,27,Inter Mailand,RumÃ¤nien,fifa_2009
18,8586,Jamie Carragher,IV,30,Liverpool,England,fifa_2009
19,8588,Torsten Frings,ZDM,31,Werder Bremen,Deutschland,fifa_2009
20,8587,Ricardo Carvalho,IV,30,Chelsea,Portugal,fifa_2009
21,8591,Thierry Henry,ST,31,F.C. Barcelona,Frankreich,fifa_2009
22,8591,Fabio Cannavaro,IV,34,Real Madrid C.F.,Italien,fifa_2009
23,8588,Paul Scholes,ZM,33,Manchester United,England,fifa_2009
24,8490,Sergio AgÃ¼ero,MS,20,AtlÃ©tico Madrid,Argentinien,fifa_2009
25,8491,Mario Gomez,ST,23,VfB Stuttgart,Deutschland,fifa_2009
26,8490,Klaas Jan Huntelaar,ST,25,Ajax,Niederlande,fifa_2009
27,8491,Andrey Arshavin,MS,27,Russland,Russland,fifa_2009
28,8486,Luis Oscar GonzÃ¡lez,ZM,27,FC Porto,Argentinien,fifa_2009
29,8489,Eric Abidal,LV,29,F.C. Barcelona,Frankreich,fifa_2009
30,8489,Gabriel Milito,IV,27,F.C. Barcelona,Argentinien,fifa_2009
1,8486,Marcos Senna,ZM,32,Villarreal C.F.,Spanien,fifa_2009
2,8486,Maicon,RV,27,Inter Mailand,Brasilien,fifa_2009
3,8484,Marc Planus,IV,26,FCGB,Frankreich,fifa_2009
4,8486,Anatoliy Tymoschuk,ZDM,29,Ukraine,Ukraine,fifa_2009
5,8486,Pepe,IV,25,Real Madrid C.F.,Portugal,fifa_2009
6,8487,Yakubu,ST,25,Everton,Nigeria,fifa_2009
7,8485,Artur Boruc,TW,28,Celtic,Polen,fifa_2009
8,8484,Patrice Evra,LAV,27,Manchester United,Frankreich,fifa_2009
9,8485,Tommaso Rocchi,ST,30,Lazio,Italien,fifa_2009
10,8489,Juan,IV,29,AS Rom,Brasilien,fifa_2009
11,8487,Aliaksandr Hleb,RM,27,F.C. Barcelona,WeiÃrussland,fifa_2009
12,8486,Reina,TW,26,Liverpool,Spanien,fifa_2009
13,8486,Vincenzo Iaquinta,ST,28,Juventus,Italien,fifa_2009
14,8489,Pablo CÃ©sar Aimar,ZOM,28,Sport Lisboa Benfica,Argentinien,fifa_2009
15,8486,Arjen Robben,LM,24,Real Madrid C.F.,Niederlande,fifa_2009
16,8490,TomÃ¡Å¡ RosickÃ½,ZOM,27,Arsenal,Tschechische Repub.,fifa_2009
17,8485,Gareth Barry,ZM,27,Aston Villa,England,fifa_2009
18,8486,William Gallas,IV,31,Arsenal,Frankreich,fifa_2009
19,8488,Alessandro Gamberini,IV,27,Fiorentina,Italien,fifa_2009
20,8488,SimÃ£o,LFL,28,AtlÃ©tico Madrid,Portugal,fifa_2009
21,8486,Julio Ricardo Cruz,ST,33,Inter Mailand,Argentinien,fifa_2009
22,8487,Joe Cole,RFL,26,Chelsea,England,fifa_2009
23,8389,Casper Zeeberg,ZM,32,Niederlande,Niederlande,fifa_2009
