age,id,name,nation,overall,position,potential,team
31,158023,Lionel Messi,Argentinien,94,MS RF ST,94,FC Barcelona
33,20801,Cristiano Ronaldo,Portugal,94,ST LF,94,Juventus Turin
26,190871,Neymar Jr,Brasilien,92,LF ZOM,93,PSG
27,193080,De Gea,Spanien,91,TW,93,Manchester Utd
27,192985,Kevin De Bruyne,Belgien,91,ZOM ZM,92,Manchester City
27,183277,Eden Hazard,Belgien,91,LF MS,91,FC Chelsea
33,177003,Luka Modrić,Kroatien,91,ZM ZDM,91,Real Madrid
31,176580,Luis Suárez,Uruguay,91,ST,91,FC Barcelona
32,155862,Sergio Ramos,Spanien,91,IV,91,Real Madrid
25,200389,Jan Oblak,Slowenien,90,TW,93,Atlético Madrid
26,192119,Thibaut Courtois,Belgien,90,TW,91,Real Madrid
30,188545,Robert Lewandowski,Polen,90,ST,90,FC Bayern
28,182521,Toni Kroos,Deutschland,90,ZM ZDM,90,Real Madrid
32,182493,Diego Godín,Uruguay,90,IV,90,Atlético Madrid
32,167495,Manuel Neuer,Deutschland,90,TW,90,FC Bayern
27,215914,N'Golo Kanté,Frankreich,89,ZDM ZM,90,FC Chelsea
24,211110,Paulo Dybala,Argentinien,89,ZOM ST MS,94,Juventus Turin
25,202126,Harry Kane,England,89,ST,92,Tottenham
27,194765,Antoine Griezmann,Frankreich,89,ST,90,Atlético Madrid
26,192448,Marc-André ter Stegen,Deutschland,89,TW,92,FC Barcelona
30,189511,Sergio Busquets,Spanien,89,ZDM ZM,89,FC Barcelona
31,179813,Edinson Cavani,Uruguay,89,ST,89,PSG
29,178603,Mats Hummels,Deutschland,89,IV,89,FC Bayern
32,168542,David Silva,Spanien,89,ZOM ZM,89,Manchester City
30,153079,Sergio Agüero,Argentinien,89,ST,89,Manchester City
34,138956,Giorgio Chiellini,Italien,89,IV,89,Juventus Turin
26,209331,Mohamed Salah,Ägypten,88,RF,89,FC Liverpool
26,200145,Casemiro,Brasilien,88,ZDM,91,Real Madrid
27,198710,James Rodríguez,Kolumbien,88,L ZOM ZM RM,89,FC Bayern
27,198219,Lorenzo Insigne,Italien,88,LF,88,SSC Neapel
26,197781,Isco,Spanien,88,ZOM ZM LF,91,Real Madrid
25,195864,Paul Pogba,Frankreich,88,ZM ZDM,91,Manchester Utd
26,190460,Christian Eriksen,Dänemark,88,ZOM RM ZM,91,Tottenham
26,189242,Coutinho,Brasilien,88,LF RF ZM,89,FC Barcelona
29,188567,Pierre-Emerick Aubameyang,Gabun,88,ST LM,88,FC Arsenal
30,176676,Marcelo,Brasilien,88,LV,88,Real Madrid
29,173731,Gareth Bale,Wales,88,RF ST,88,Real Madrid
31,167948,Hugo Lloris,Frankreich,88,TW,88,Tottenham
30,167664,Gonzalo Higuaín,Argentinien,88,L ST,88,AC Mailand
34,164240,Thiago Silva,Brasilien,88,IV,88,PSG
34,162835,Samir Handanovič,Slowenien,88,TW,88,Inter Mailand
40,1179,Gianluigi Buffon,Italien,88,TW,88,PSG
19,231747,Kylian Mbappé,Frankreich,87,RF ST RM,95,PSG
24,205600,Samuel Umtiti,Frankreich,87,IV,92,FC Barcelona
25,201399,Mauro Icardi,Argentinien,87,ST,90,Inter Mailand
27,201024,Kalidou Koulibaly,Senegal,87,IV,90,SSC Neapel
31,193041,Keylor Navas,Costa Rica,87,TW,87,Real Madrid
25,192505,Romelu Lukaku,Belgien,87,ST,89,Manchester Utd
28,192387,Ciro Immobile,Italien,87,ST,87,Lazio Rom
29,189332,Jordi Alba,Spanien,87,LV,87,FC Barcelona
31,175943,Dries Mertens,Belgien,87,MS ST,87,SSC Neapel
31,172871,Jan Vertonghen,Belgien,87,IV,87,Tottenham
